,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
458,18,503.36,0,parda,publica,3,2,F
459,17,553.42,0,branca,publica,3,4,D
460,17,603.22,1,branca,publica,3,3,F
461,17,668.82,1,branca,privada,5,5,N
462,17,624.2,1,parda,privada,4,2,N
463,17,469.4,1,preta,publica,3,2,B
464,17,593.24,1,branca,publica,3,2,D
465,18,438.92,1,branca,publica,4,4,E
466,18,608.16,0,branca,privada,4,2,G
467,18,718.96,0,branca,privada,4,5,N
468,17,606.16,1,branca,privada,4,4,H
469,19,536.7,1,branca,privada,2,2,F
470,18,635.92,1,amarela,privada,4,4,H
471,17,586.16,1,branca,publica,3,3,F
472,16,542.96,1,amarela,privada,4,4,J
473,17,510.22,1,parda,publica,2,4,C
474,17,523.68,1,branca,publica,3,3,D
475,17,414.68,1,branca,publica,3,2,C
476,17,484.52,0,branca,exterior,5,5,I
477,17,548.42,0,branca,publica,3,2,G
478,17,608.82,1,branca,publica,4,4,E
479,17,616.96,1,branca,publica,3,2,C
480,18,601.76,0,branca,publica,2,4,H
481,18,502.18,1,branca,publica,2,4,E
482,17,662.52,1,branca,privada,4,4,H
483,17,541.74,1,branca,publica,2,2,E
484,18,557.08,0,branca,publica,4,2,C
485,18,591.68,0,parda,publica,3,2,C
486,17,502.7,0,branca,publica,4,3,C
487,17,611.68,0,branca,exterior,4,4,M
488,17,501.66,1,parda,publica,3,2,E
489,17,507.6,1,parda,publica,2,3,C
490,17,649.96,1,branca,publica,4,4,E
491,17,620.72,0,branca,publica,4,4,H
492,17,508.06,1,branca,publica,3,2,C
493,17,558.48,1,preta,publica,3,4,E
494,17,548.16,0,branca,publica,4,3,H
495,17,572.74,1,branca,publica,3,2,C
496,17,605.44,1,branca,exterior,5,5,P
497,18,563.46,1,branca,privada,4,4,K
498,18,598.92,0,branca,privada,5,5,Q
499,17,581.9,0,branca,privada,5,4,O
500,17,534.38,1,branca,publica,2,4,C
501,17,516.18,1,branca,publica,4,4,D
502,18,646.64,0,branca,privada,5,4,N
503,17,564.64,1,branca,publica,4,2,F
504,17,685.4,0,branca,exterior,4,2,N
505,17,615.68,1,branca,privada,5,4,L
506,17,727.06,1,branca,privada,3,4,I
507,17,534.72,1,parda,publica,3,2,C
508,18,573.12,1,branca,privada,3,4,D
509,19,444.9,1,branca,publica,3,3,J
510,17,534.44,1,parda,publica,3,2,D
511,17,494.94,1,branca,publica,2,2,C
512,18,564.06,1,branca,privada,4,4,I
513,18,635.48,1,branca,privada,4,4,K
514,17,477.06,1,branca,publica,4,4,E
515,17,412.28,0,branca,publica,2,2,E
516,18,580.54,0,preta,publica,2,4,J
517,17,679.68,1,amarela,privada,3,4,I
518,18,615.88,0,branca,privada,4,4,N
519,18,529.42,1,branca,publica,2,2,F
520,17,532.24,1,branca,publica,3,4,J
521,18,646.66,1,parda,publica,4,4,M
522,17,519.36,1,branca,publica,4,4,D
523,18,513.76,1,branca,publica,3,2,A
524,17,518.12,1,parda,publica,3,3,D
525,17,459.5,1,branca,publica,3,2,H
526,18,515.7,1,branca,privada,4,5,N
527,18,508.56,1,preta,publica,3,3,F
528,18,560.98,0,branca,privada,5,5,Q
529,17,661.8,0,branca,privada,4,5,Q
530,18,575.64,1,branca,privada,5,5,Q
531,17,656.68,1,branca,privada,5,5,L
532,17,493.72,1,branca,publica,3,2,F
533,18,607.38,1,parda,privada,2,4,G
534,18,574.82,0,preta,publica,4,4,C
535,17,640.74,1,branca,privada,5,5,O
536,18,730.1,0,branca,privada,5,2,O
537,17,538.7,0,parda,publica,2,2,C
538,17,511.02,1,branca,publica,4,3,I
539,18,593.18,0,branca,privada,5,4,Q
540,17,458.48,1,branca,publica,3,2,D
541,17,572.08,1,preta,publica,3,2,D
542,18,703.62,1,branca,privada,4,5,O
543,17,542.2,1,branca,publica,4,4,H
544,17,639.84,0,branca,publica,3,3,G
545,18,511,1,branca,publica,3,2,G
546,18,593.68,0,branca,publica,3,3,I
547,17,503,1,branca,publica,2,2,D
548,17,667.16,1,parda,publica,3,2,G
549,17,618.22,0,preta,publica,3,4,H
550,17,646.12,1,parda,privada,3,2,C
551,18,428.36,1,preta,publica,3,2,B
552,18,511.6,1,parda,publica,4,2,B
553,17,592.96,1,branca,privada,4,4,N
554,17,428.94,0,branca,publica,4,2,I
555,18,561.44,0,branca,publica,3,2,H
556,17,499.22,1,branca,publica,2,2,G
557,18,550.44,0,branca,privada,2,4,G
558,17,429.82,0,preta,publica,2,2,H
559,17,536.1,1,branca,publica,4,4,G
560,17,622.58,1,branca,privada,4,4,J
561,17,681.64,0,branca,privada,3,4,L
562,17,475.5,0,branca,publica,2,2,D
563,17,644.9,0,parda,privada,4,4,G
564,17,574.02,0,parda,publica,3,3,C
565,17,560.52,1,branca,publica,3,2,C
566,18,583.4,0,parda,publica,3,3,D
567,17,626.48,1,branca,privada,4,5,Q
568,18,635.04,1,parda,publica,2,2,F
569,17,463.86,1,preta,publica,3,4,H
570,17,651.88,1,branca,publica,3,2,H
571,17,590.96,1,branca,privada,5,2,O
572,18,490.8,1,branca,publica,3,3,G
573,17,618.06,1,branca,publica,3,4,D
574,19,478.06,1,branca,privada,5,5,O
575,17,590.12,1,branca,publica,3,4,E
576,17,612.58,0,branca,privada,4,4,M
577,17,498.32,0,branca,privada,4,4,E
578,18,556.68,0,branca,publica,3,2,C
579,18,666.94,1,preta,publica,4,4,E
580,17,611.96,1,branca,privada,5,5,Q
581,17,567.92,1,branca,publica,4,2,E
582,18,553.3,1,branca,publica,3,3,C
583,17,519.48,1,branca,publica,4,4,B
584,17,611.72,1,branca,publica,4,4,L
585,18,517.62,0,branca,publica,3,2,I
586,18,644.88,1,branca,privada,4,4,G
587,17,546.7,1,branca,publica,3,3,B
588,17,743.78,1,parda,privada,5,4,M
589,18,566.1,0,branca,publica,2,2,F
590,17,471.08,1,parda,publica,3,3,C
591,17,587.3,1,branca,publica,4,3,I
592,24,531.06,1,branca,publica,3,4,C
593,17,572.9,0,branca,publica,4,4,J
594,27,549.9,1,branca,publica,3,2,B
595,17,554.96,0,branca,publica,4,4,L
596,17,589.16,1,branca,publica,4,4,K
597,17,617.34,1,branca,publica,4,3,A
598,18,501.64,1,branca,publica,4,3,C
